,Date,DW
0,1993-01,-1.7696752866306142
1,1993-02,0.7205508475361992
2,1993-03,0.6378156378946354
3,1993-04,1.356779770980135
4,1993-05,0.9504141520869633
5,1993-06,0.5640409644485844
6,1993-07,-0.6755369618743867
7,1993-08,-1.0806050231000697
8,1993-09,-1.8236186108123402
9,1993-10,-1.4535288574843053
10,1993-11,-2.2635046649596604
11,1993-12,-1.2076353575176644
12,1994-01,-1.4361057525161587
13,1994-02,-0.7057864166323686
14,1994-03,-0.3808992876920017
15,1994-04,-0.6849318208375542
16,1994-05,-0.18550860385354936
17,1994-06,-0.08386016670212337
18,1994-07,-0.40920495575591115
19,1994-08,-0.4079991775913823
20,1994-09,-0.13017344557283803
21,1994-10,-0.22943335231664883
22,1994-11,-2.001757189082285
23,1994-12,-0.08802243007944059
24,1995-01,0.9360901126862494
25,1995-02,0.3614961595676189
26,1995-03,0.6698020395504855
27,1995-04,-0.07818447238194486
28,1995-05,-0.5870212276897878
29,1995-06,-0.1151294356222619
30,1995-07,-0.03061397011925038
31,1995-08,-0.269005061025699
32,1995-09,-0.04797251071812955
33,1995-10,-0.12389776511663395
34,1995-11,-0.1379630680840008
35,1995-12,0.4451666043022186
36,1996-01,-0.7084192177298597
37,1996-02,-0.2903117398142351
38,1996-03,-0.18868486794878128
39,1996-04,0.43788873526199773
40,1996-05,0.20362030632402683
41,1996-06,-0.30143339241363637
42,1996-07,-0.4949469327152605
43,1996-08,-0.2954567949071739
44,1996-09,-0.14331970384651924
45,1996-10,-0.1328559894994641
46,1996-11,-0.5391412527780308
47,1996-12,0.011248925131591049
48,1997-01,0.06924583962439743
49,1997-02,0.8007457510404098
50,1997-03,0.42080453705099113
51,1997-04,0.814501232874913
52,1997-05,0.5518897644189735
53,1997-06,1.1374418082178734
54,1997-07,1.0928013110061963
55,1997-08,0.9634964119680736
56,1997-09,1.028804746184797
57,1997-10,1.033540455372074
58,1997-11,2.627636466870621
59,1997-12,2.227433252505014
60,1998-01,2.001530946962165
61,1998-02,3.990938826091948
62,1998-03,1.0050287624222385
63,1998-04,-0.1345323382521138
64,1998-05,-0.6739509758453852
65,1998-06,-0.9051345686745537
66,1998-07,-0.322421541945498
67,1998-08,-0.10616965318031756
68,1998-09,-0.23215661455229056
69,1998-10,-0.602125027209778
70,1998-11,0.1563240830259453
71,1998-12,-0.14764079348990944
72,1999-01,-1.8402005500666099
73,1999-02,0.28256807893532526
74,1999-03,0.7737075299200351
75,1999-04,-0.14661553906260852
76,1999-05,-0.20248846354091063
77,1999-06,0.28119044548793365
78,1999-07,0.36177592668862546
79,1999-08,0.37595798595158014
80,1999-09,0.27288575955981925
81,1999-10,-0.565765271957362
82,1999-11,0.8950336726876692
83,1999-12,-0.31271184801931173
84,2000-01,-1.733590598002917
85,2000-02,0.48193582753092784
86,2000-03,1.06311514627382
87,2000-04,0.540333343216566
88,2000-05,0.9062662542879065
89,2000-06,0.7410676172943775
90,2000-07,0.46567324945042
91,2000-08,0.385745098163779
92,2000-09,-0.2863131652341858
93,2000-10,-0.08487891715423204
94,2000-11,-0.2809304361902868
95,2000-12,0.1890750311462798
96,2001-01,0.22687376583115285
97,2001-02,-0.8132425487542563
98,2001-03,-0.4306810790733746
99,2001-04,-0.9368597356740316
100,2001-05,0.22300606977296122
101,2001-06,0.3835517396422343
102,2001-07,-0.06623610850213808
103,2001-08,0.6625735860504774
104,2001-09,0.854566392307119
105,2001-10,0.12842376791057136
106,2001-11,1.2967257547722513
107,2001-12,0.07072006040641242
108,2002-01,0.1931590506277326
109,2002-02,0.1871337754776075
110,2002-03,0.592286226810748
111,2002-04,-0.8554319704605473
112,2002-05,-0.9521350966843237
113,2002-06,0.07346005297395684
114,2002-07,0.33351196860565485
115,2002-08,0.060211633420963015
116,2002-09,-0.30493732911997595
117,2002-10,-0.6432408845396501
118,2002-11,1.6381341878761755
119,2002-12,2.066009105803577
120,2003-01,2.0671041605408518
121,2003-02,-0.4785704766834425
122,2003-03,-0.08711159422751501
123,2003-04,0.1393222750465556
124,2003-05,0.41985265005373523
125,2003-06,0.13960710601507337
126,2003-07,0.3296172999036567
127,2003-08,0.5843836874035087
128,2003-09,1.1421465555515347
129,2003-10,1.816003993219496
130,2003-11,-0.06519382057717753
131,2003-12,0.9201427760326567
132,2004-01,0.9156109206408993
133,2004-02,1.4503561470289437
134,2004-03,0.4484203253140402
135,2004-04,1.2769761501289083
136,2004-05,-0.12032358028356888
137,2004-06,0.28096714030869807
138,2004-07,0.49454673684681305
139,2004-08,0.09309508500264094
140,2004-09,0.07294424898278201
141,2004-10,-0.830323275084813
142,2004-11,-1.6602618777376335
143,2004-12,-2.229989532109125
144,2005-01,-1.5884166624607918
145,2005-02,-1.2835049843573776
146,2005-03,-0.9372382428728618
147,2005-04,-1.0870759344287833
148,2005-05,-0.359309465951745
149,2005-06,-1.5188391083997137
150,2005-07,-1.118864664012004
151,2005-08,-0.6640573843658122
152,2005-09,-1.6362829242748191
153,2005-10,-0.8528483806615935
154,2005-11,-0.7073912379168811
155,2005-12,0.1290035283834683
156,2006-01,0.6365928229674445
157,2006-02,-0.41266582326968915
158,2006-03,0.188573574277621
159,2006-04,0.3537633931676969
160,2006-05,0.19077670221061183
161,2006-06,0.605993710376668
162,2006-07,-0.007029956296354369
163,2006-08,-0.01169267605000309
164,2006-09,-0.3022685793667513
165,2006-10,-1.0412842483074765
166,2006-11,-0.5092362919816094
167,2006-12,0.03471028758134074
168,2007-01,-1.2445903275006405
169,2007-02,-0.6571427866113312
