,Date,NGAO
0,1993-01,-0.3193210738321606
1,1993-02,0.054712123264928886
2,1993-03,0.5653946494100472
3,1993-04,0.6313440178548962
4,1993-05,0.9052919697362556
5,1993-06,1.0892853675271224
6,1993-07,1.3208858655998
7,1993-08,1.552935706034887
8,1993-09,1.2685678164013674
9,1993-10,1.5456678407270505
10,1993-11,1.3283892445240322
11,1993-12,1.3754997939577733
12,1994-01,1.3247946763079066
13,1994-02,0.9570413996255245
14,1994-03,0.9603017033342438
15,1994-04,0.8054519668115137
16,1994-05,0.4729566561099535
17,1994-06,0.4715523223059616
18,1994-07,0.2910563864288501
19,1994-08,0.2865657586434194
20,1994-09,0.5177841105685318
21,1994-10,0.37287895607419036
22,1994-11,-0.4725032539676359
23,1994-12,-0.9418856768721454
24,1995-01,-0.17037151724572133
25,1995-02,0.8983629541197702
26,1995-03,0.42384364446593603
27,1995-04,0.18313494934972105
28,1995-05,0.6342370571022746
29,1995-06,0.2367243523571197
30,1995-07,-0.141255576692436
31,1995-08,-0.5543401511333151
32,1995-09,0.11247069840579571
33,1995-10,0.005801362881810089
34,1995-11,-0.08705462895481442
35,1995-12,-0.2289475801251484
36,1996-01,-0.10553229993374919
37,1996-02,-0.09992575358362818
38,1996-03,-0.01932451085955828
39,1996-04,0.27500273689276916
40,1996-05,0.6937026496972462
41,1996-06,0.5484355059339104
42,1996-07,0.19792566591667163
43,1996-08,0.18617689601050133
44,1996-09,0.04261239752168026
45,1996-10,-0.14898282472336247
46,1996-11,-0.4325261817178504
47,1996-12,-0.43857605430374863
48,1997-01,-0.2867534821598493
49,1997-02,0.01811221995014363
50,1997-03,-0.4118950788585922
51,1997-04,-0.4338070026670645
52,1997-05,0.10729361477481192
53,1997-06,0.0989019582898372
54,1997-07,0.23760029175034458
55,1997-08,0.37398610490135564
56,1997-09,0.7158782971881372
57,1997-10,0.7018323208428618
58,1997-11,0.11951696794269209
59,1997-12,0.21793754459683076
60,1998-01,-0.16852133794866886
61,1998-02,0.2637386652052621
62,1998-03,0.5879862141444917
63,1998-04,0.4308123821961202
64,1998-05,0.31615409821889584
65,1998-06,0.5007670670313679
66,1998-07,0.40507596599286083
67,1998-08,0.3764025244202769
68,1998-09,-0.2657926598718599
69,1998-10,-0.37618558307687533
70,1998-11,-0.5947914731283427
71,1998-12,-0.572941261134901
72,1999-01,-0.6148014687143679
73,1999-02,-1.5351468391436636
74,1999-03,-1.23927645821875
75,1999-04,-0.8579423601969433
76,1999-05,-1.1306293116936945
77,1999-06,-1.273495143714881
78,1999-07,-1.4449065449437575
79,1999-08,-1.1604877218372118
80,1999-09,-1.4439381768334445
81,1999-10,-1.4151728851493814
82,1999-11,-1.6407304040079507
83,1999-12,-1.1665438875350924
84,2000-01,-2.0042209422759663
85,2000-02,-1.6264702220402545
86,2000-03,-1.1691846021646433
87,2000-04,-1.3277092881556363
88,2000-05,-1.7200130981389938
89,2000-06,-1.089574209893993
90,2000-07,-1.0850296420760965
91,2000-08,-1.227675997921603
92,2000-09,-1.1854165799305834
93,2000-10,-1.185846802608545
94,2000-11,-0.7289441218014808
95,2000-12,-0.5248228158413771
96,2001-01,-0.6698810096152177
97,2001-02,-0.7484740911656768
98,2001-03,-0.4175823452682207
99,2001-04,-0.876154348762429
100,2001-05,-1.0909165976768074
101,2001-06,-1.1078160637498735
102,2001-07,-0.9081498518163166
103,2001-08,-1.0608554900617992
104,2001-09,-1.4067622017887693
105,2001-10,-1.4694772349128222
106,2001-11,-1.2624262254819918
107,2001-12,-1.4402362266767081
108,2002-01,-1.3327565227198006
109,2002-02,-1.573703041914659
110,2002-03,-1.0749768550640788
111,2002-04,-0.9657746311782319
112,2002-05,-0.8150769085088516
113,2002-06,-0.5636314411875085
114,2002-07,-0.18091622479276132
115,2002-08,-0.7504801721204204
116,2002-09,-0.7360051670820724
117,2002-10,-0.07975765126407125
118,2002-11,0.6800733136833408
119,2002-12,0.3793826132816955
120,2003-01,1.0831471746592027
121,2003-02,1.5423234067758258
122,2003-03,0.982689608288398
123,2003-04,0.6730235789876846
124,2003-05,0.8176829917955678
125,2003-06,0.8570727590214364
126,2003-07,1.136242405689348
127,2003-08,0.9789699449588981
128,2003-09,0.917303660845847
129,2003-10,0.9668095624366251
130,2003-11,0.8833002736230822
131,2003-12,0.3644418269808579
132,2004-01,0.8596685176618707
133,2004-02,0.935671045392361
134,2004-03,0.9714036242201315
135,2004-04,1.2412837886080226
136,2004-05,1.7643248292819884
137,2004-06,1.5320322180846584
138,2004-07,1.2022802832276438
139,2004-08,1.3509150211338776
140,2004-09,1.3358535565268166
141,2004-10,1.110618299583081
142,2004-11,1.264745143281722
143,2004-12,1.5787855846277097
144,2005-01,1.5860613751344232
145,2005-02,1.9090038218471204
146,2005-03,1.7804796190522607
147,2005-04,1.538018722069724
148,2005-05,1.671509651813255
149,2005-06,1.5649297914855633
150,2005-07,1.8357638924201751
151,2005-08,1.7956106296012886
152,2005-09,1.7027485062921328
153,2005-10,0.9606825504841104
154,2005-11,1.0268284173958426
155,2005-12,1.1657283162349972
156,2006-01,1.2502031058894318
157,2006-02,0.7410585507055695
158,2006-03,0.20831807003658576
159,2006-04,0.6556457091061733
160,2006-05,0.24626696282805835
161,2006-06,0.3605435802016484
162,2006-07,0.3840057932131325
163,2006-08,0.18699288137547979
164,2006-09,0.17627134121674287
165,2006-10,0.4826346818910055
166,2006-11,0.22559789070286476
167,2006-12,-0.2561879362572929
168,2007-01,-0.33812489880707375
169,2007-02,-0.6327533990452376
170,2007-03,-0.520613833135744
