"","time","gsi","gsiNorm","gsiInt","gsiDInt"
"1",1973-01-01,-0.039774717,-0.445214429350605,NA,NA
"2",1973-02-01,-0.323729803,-0.789488857833298,-0.617351643591951,-0.617351643591951
"3",1973-03-01,0.044872058,-0.342586508517984,-0.525763265233962,-0.571557454412957
"4",1973-04-01,0.226879421,-0.121916113917385,-0.424801477404818,-0.522638795410244
"5",1973-05-01,-0.078716342,-0.492428254184376,-0.438326832760729,-0.501560804747865
"6",1973-06-01,-0.011649172,-0.411114297294371,-0.433791410183003,-0.488006925834893
"7",1973-07-01,0.2018434,-0.152270427843129,-0.393574126991592,-0.472268126027676
"8",1973-08-01,0.348807107,0.0259121395052967,-0.341138343679481,-0.453535299977934
"9",1973-09-01,-0.231035644,-0.677104082258583,-0.37846787018827,-0.444151871254226
"10",1973-10-01,0.089979583,-0.287896988395623,-0.369410782009006,-0.435847305782535
"11",1973-11-01,-0.198444291,-0.637589490054545,-0.3937906645586,-0.431641641660141
"12",1973-12-01,0.887333058,0.678834813352469,-0.304405208066011,-0.420074693151584
"13",1974-01-01,0.599930433,0.330380500171755,-0.239772297272481,-0.405049493494992
"14",1974-02-01,1.326911129,1.21179053990371,-0.0729990141277305,-0.359686774372974
"15",1974-03-01,0.772942469,0.540144729626433,0.000561922384304296,-0.315826342071452
"16",1974-04-01,1.679917842,1.63978493183592,0.147370342863746,-0.268145357049071
"17",1974-05-01,0.590829609,0.319346427757494,0.215018233025569,-0.213699934900213
"18",1974-06-01,0.887937011,0.679567061458444,0.30590834625497,-0.152058288530382
"19",1974-07-01,0.225309739,-0.123819236629719,0.308279278856088,-0.0935705047097419
"20",1974-08-01,0.205778072,-0.147499930603059,0.293828273013725,-0.0406566199853081
"21",1974-09-01,-0.343215491,-0.813113805687876,0.282494129394617,0.0144235466465992
"22",1974-10-01,-0.930071667,-1.52463328378569,0.179432771445445,0.0601605094344701
"23",1974-11-01,0.957247261,0.763600586065721,0.296198611122134,0.117659615741198
"24",1974-12-01,1.621203607,1.56859828755647,0.3703455673058,0.173888847022182
"25",1975-01-01,0.461178275,0.162153825421543,0.356326677743283,0.223563761606829
"26",1975-02-01,0.089913981,-0.287976525942829,0.231346088922738,0.248925853527702
"27",1975-03-01,0.141241121,-0.225746185088321,0.167521846029842,0.262839180498163
"28",1975-04-01,-0.006116534,-0.404406385095004,-0.00282743038106871,0.250322699394428
"29",1975-05-01,-0.714147336,-1.26284108735877,-0.134676389974091,0.221181480811123
"30",1975-06-01,-0.175212132,-0.609422224678836,-0.242092163818864,0.175514771638304
"31",1975-07-01,-0.016555421,-0.417062759405977,-0.266529124050219,0.127614071396112
"32",1975-08-01,-1.204769075,-1.85768346604189,-0.409044418670122,0.0690413470891245
"33",1975-09-01,-0.282763133,-0.739819816507907,-0.402936586238458,0.0119221207863682
"34",1975-10-01,0.895967953,0.689303981498072,-0.218441814131478,-0.0212340946783754
"35",1975-11-01,-0.044854788,-0.451373637712791,-0.319689666113021,-0.0725581177813049
"36",1975-12-01,0.214492884,-0.136933869037132,-0.461817345829154,-0.141905027209218
"37",1976-01-01,0.273603148,-0.0652670690416525,-0.48076908703442,-0.21166300760736
"38",1976-02-01,0.446572453,0.144445352252762,-0.444733930518121,-0.268003009227431
"39",1976-03-01,0.278620619,-0.0591837585248848,-0.430853728304501,-0.31786764042196
"40",1976-04-01,0.368233717,0.0494654596775797,-0.393031074573453,-0.350384610771325
"41",1976-05-01,0.93563515,0.737397508432417,-0.226344524924187,-0.358023622017167
"42",1976-06-01,1.27192339,1.14512199494311,-0.0801325066223577,-0.344526983917458
"43",1976-07-01,1.004162583,0.820481925633034,0.0229962171308932,-0.320399872152365
"44",1976-08-01,0.70670807,0.459840445653793,0.2161232097722,-0.268302569782171
"45",1976-09-01,0.180746994,-0.177848251508837,0.262954173522123,-0.212811673135456
"46",1976-10-01,0.546010773,0.265006921582353,0.227596085195813,-0.175641848191516
"47",1976-11-01,0.144676255,-0.221581340530434,0.246745443294343,-0.128438922407569
"48",1976-12-01,-0.393718885,-0.874345415766472,0.185294481066898,-0.0745129368328975
"49",1977-01-01,0.497153005,0.205770510669326,0.207880946042813,-0.0171254340764615
"50",1977-02-01,1.327089328,1.21200659294134,0.296844382766861,0.0446727586972871
"51",1977-03-01,0.431595667,0.126287112816763,0.312300288711998,0.106602260115329
"52",1977-04-01,0.659230004,0.402276820828937,0.341701235474611,0.167829952619334
"53",1977-05-01,0.07454842,-0.306606126159221,0.254700932591975,0.207917074079014
"54",1977-06-01,0.601634205,0.332446197038916,0.186977949433292,0.230176278750318
"55",1977-07-01,0.93219868,0.733231044073868,0.179707042636694,0.243235514209135
"56",1977-08-01,-0.00913699,-0.408068463410999,0.107381300214628,0.234173688412671
"57",1977-09-01,0.21850217,-0.132072907869936,0.111195912184537,0.221527166634539
"58",1977-10-01,-1.557586136,-2.28544791902556,-0.101341991199456,0.194115660268266
"59",1977-11-01,-0.309756122,-0.772546808624592,-0.147255780207302,0.161282224976462
"60",1977-12-01,0.206533332,-0.146584234009916,-0.0866090150609224,0.138623600299144
"61",1978-01-01,-0.856492801,-1.43542437966852,-0.22337525592241,0.102685583468709
"62",1978-02-01,-0.943166547,-1.54050985212456,-0.452751626344568,0.0402192493760898
"63",1978-03-01,-0.673394499,-1.21343130264647,-0.564394827633171,-0.0328386769860076
"64",1978-04-01,-0.31388245,-0.777549674514207,-0.6627137022451,-0.116539921795984
"65",1978-05-01,-0.360745556,-0.834367706064006,-0.706693833903832,-0.196656152337301
