"","time","amo","amoNorm","amoInt","amoDInt"
"1",1973-01-15,-0.28,-1.46048858098204,NA,NA
"2",1973-02-15,-0.21,-1.26237916706186,-1.36143387402195,-1.36143387402195
"3",1973-03-15,-0.16,-1.12087244283316,-1.28124673029236,-1.32134030215716
"4",1973-04-15,-0.14,-1.06426975314168,-1.22700248600469,-1.28989436343967
"5",1973-05-15,-0.13,-1.03596840829594,-1.18879567046294,-1.26461969019548
"6",1973-06-15,-0.07,-0.866160339221505,-1.13502311525603,-1.23870037520759
"7",1973-07-15,-0.04,-0.781256304684286,-1.08448499946007,-1.21299781258301
"8",1973-08-15,-0.14,-1.06426975314168,-1.08195809367027,-1.19427785273833
"9",1973-09-15,-0.09,-0.922763028912985,-1.06426975314168,-1.17802684028875
"10",1973-10-15,-0.13,-1.03596840829594,-1.06143961865711,-1.1650727045519
"11",1973-11-15,-0.15,-1.09257109798742,-1.06426975314168,-1.15499240941088
"12",1973-12-15,-0.16,-1.12087244283316,-1.06898664394931,-1.14717370345983
"13",1974-01-15,-0.14,-1.06426975314168,-1.06862380619488,-1.14062787868775
"14",1974-02-15,-0.2,-1.23407782221612,-1.05120759398211,-1.13374939524885
"15",1974-03-15,-0.36,-1.68689933974796,-1.08386299188104,-1.11239778893032
"16",1974-04-15,-0.55,-2.22462489181702,-1.16876702641826,-1.10374550401693
"17",1974-05-15,-0.59,-2.33783027119998,-1.28596362109998,-1.10157141807104
"18",1974-06-15,-0.56,-2.25292623666276,-1.40152744588675,-1.12378011229026
"19",1974-07-15,-0.59,-2.33783027119998,-1.53124194309639,-1.16100985759329
"20",1974-08-15,-0.56,-2.25292623666276,-1.63029665005648,-1.20670473729214
"21",1974-09-15,-0.57,-2.2812275815085,-1.74350202943944,-1.26330742698362
"22",1974-10-15,-0.51,-2.11141951243406,-1.83312295478429,-1.32761437166089
"23",1974-11-15,-0.37,-1.7152006845937,-1.88500875366814,-1.39600928837142
"24",1974-12-15,-0.28,-1.46048858098204,-1.91331009851388,-1.4663695762518
"25",1975-01-15,-0.1,-0.951064373758725,-1.90387631689864,-1.53597395214378
"26",1975-02-15,-0.13,-1.03596840829594,-1.88736719907195,-1.6056539192346
"27",1975-03-15,-0.18,-1.17747513252464,-1.84491518180334,-1.66907493506146
"28",1975-04-15,-0.27,-1.4321872361363,-1.77887871049662,-1.71991757540133
"29",1975-05-15,-0.34,-1.63029665005648,-1.71991757540133,-1.75608040492644
"30",1975-06-15,-0.26,-1.40388589129056,-1.64916421328698,-1.77671680220979
"31",1975-07-15,-0.14,-1.06426975314168,-1.54303417011545,-1.77769948779471
"32",1975-08-15,-0.08,-0.894461684067245,-1.42982879073249,-1.76099383285105
"33",1975-09-15,-0.25,-1.37558454644482,-1.35435853781052,-1.72856520854863
"34",1975-10-15,-0.28,-1.46048858098204,-1.30011429352285,-1.68414782011018
"35",1975-11-15,-0.19,-1.20577647737038,-1.25766227625424,-1.63186894699236
"36",1975-12-15,-0.22,-1.2906805119076,-1.24351160383137,-1.57605240576881
"37",1976-01-15,-0.24,-1.34728320159908,-1.27652983948473,-1.52377353265099
"38",1976-02-15,-0.37,-1.7152006845937,-1.33313252917621,-1.47758731015968
"39",1976-03-15,-0.38,-1.74350202943944,-1.38030143725245,-1.43886949811377
"40",1976-04-15,-0.3,-1.51709127067352,-1.38737677346388,-1.40624433669437
"41",1976-05-15,-0.43,-1.88500875366814,-1.40860278209819,-1.38030143725245
"42",1976-06-15,-0.42,-1.8567074088224,-1.44633790855917,-1.3633992451918
"43",1976-07-15,-0.24,-1.34728320159908,-1.46992236259729,-1.35730659456528
"44",1976-08-15,-0.06,-0.837858994375765,-1.46520547178967,-1.36025465132005
"45",1976-09-15,-0.18,-1.17747513252464,-1.44869635396298,-1.36811613599942
"46",1976-10-15,-0.17,-1.1491737876789,-1.42275345452106,-1.3783360660826
"47",1976-11-15,-0.34,-1.63029665005648,-1.45813013557823,-1.39504172102627
"48",1976-12-15,-0.36,-1.68689933974796,-1.49114837123159,-1.41567811830962
"49",1977-01-15,-0.29,-1.48878992582778,-1.50294059825065,-1.43454568154011
"50",1977-02-15,-0.23,-1.31898185675334,-1.46992236259729,-1.4459448343252
"51",1977-03-15,-0.06,-0.837858994375765,-1.39445210967532,-1.44712405702711
"52",1977-04-15,-0.08,-0.894461684067245,-1.34256631079146,-1.44338985180441
"53",1977-05-15,-0.13,-1.03596840829594,-1.27181294867711,-1.43199069901932
"54",1977-06-15,-0.05,-0.809557649530026,-1.18455046873608,-1.41017507903406
"55",1977-07-15,-0.04,-0.781256304684286,-1.13738156065985,-1.38246334553927
"56",1977-08-15,-0.16,-1.12087244283316,-1.16096601469796,-1.3571100574483
"57",1977-09-15,-0.17,-1.1491737876789,-1.15860756929415,-1.33293599205923
"58",1977-10-15,-0.12,-1.0076670634502,-1.14681534227509,-1.30994114937207
"59",1977-11-15,-0.04,-0.781256304684286,-1.07606198016074,-1.27810213642061
"60",1977-12-15,-0.1,-0.951064373758725,-1.01474239966164,-1.23840163878978
"61",1978-01-15,-0.01,-0.696352270147066,-0.948705928354913,-1.19221541629847
"62",1978-02-15,-0.01,-0.696352270147066,-0.896820129471057,-1.14445689687128
"63",1978-03-15,-0.04,-0.781256304684286,-0.892103238663434,-1.10259449095362
"64",1978-04-15,-0.05,-0.809557649530026,-0.885027902451999,-1.06446629025867
"65",1978-05-15,-0.15,-1.09257109798742,-0.889744793259622,-1.03262727730721
"66",1978-06-15,-0.19,-1.20577647737038,-0.922763028912985,-1.01081165732195
"67",1978-07-15,-0.27,-1.4321872361363,-0.977007273200653,-0.997447133367021
"68",1978-08-15,-0.2,-1.23407782221612,-0.9864410548159,-0.982903386710182
"69",1978-09-15,-0.12,-1.0076670634502,-0.974648827796842,-0.967573491585407
"70",1978-10-15,-0.07,-0.866160339221505,-0.962856600777783,-0.952243596460631
"71",1978-11-15,0.11,-0.356736131998187,-0.927479919720608,-0.93986175809062
"72",1978-12-15,0.01,-0.639749580455586,-0.90153702027868,-0.930427976475373
"73",1979-01-15,-0.03,-0.752954959838546,-0.906253911086303,-0.926890308369655
"74",1979-02-15,-0.05,-0.809557649530026,-0.91568769270155,-0.92846260530553
"75",1979-03-15,-0.15,-1.09257109798742,-0.941630592143478,-0.9325898847622
"76",1979-04-15,-0.07,-0.866160339221505,-0.946347482951102,-0.937699849803792
"77",1979-05-15,0.02,-0.611448235609846,-0.906253911086303,-0.939075609622682
"78",1979-06-15,0.09,-0.413338821689667,-0.840217439779577,-0.932196810528232
"79",1979-07-15,-0.02,-0.724653614992806,-0.781256304684286,-0.915884229818534
"80",1979-08-15,-0.11,-0.979365718604465,-0.760030296049981,-0.897016666588041
"81",1979-09-15,-0.03,-0.752954959838546,-0.738804287415676,-0.877362954889611
"82",1979-10-15,0.07,-0.469941511381147,-0.705786051762312,-0.855940409138321
"83",1979-11-15,0.1,-0.385037476843927,-0.708144497166124,-0.837662457258781
"84",1979-12-15,0.14,-0.271832097460967,-0.677484706916573,-0.818991431145272
"85",1980-01-15,0.17,-0.186928062923748,-0.630315798840339,-0.795996588458108
"86",1980-02-15,0.12,-0.328434787152447,-0.590222226975541,-0.768874466314274
"87",1980-03-15,0,-0.668050925301326,-0.554845545918366,-0.736642379128848
"88",1980-04-15,0.2,-0.102024028386528,-0.491167520015452,-0.698710715550877
"89",1980-05-15,0.32,0.237592109762351,-0.420414157901102,-0.658224069452111
"90",1980-06-15,0.16,-0.215229407769488,-0.40390504007442,-0.621864702810014
"91",1980-07-15,0.06,-0.498242856226887,-0.385037476843927,-0.588846467156651
"92",1980-08-15,0.01,-0.639749580455586,-0.356736131998187,-0.555238620152335
"93",1980-09-15,0.03,-0.583146890764106,-0.342585459575317,-0.522220384498972
"94",1980-10-15,0.06,-0.498242856226887,-0.344943904979129,-0.492150205600373
"95",1980-11-15,-0.08,-0.894461684067245,-0.387395922247739,-0.465421157690508
"96",1980-12-15,-0.1,-0.951064373758725,-0.443998611939218,-0.445963983109061
"97",1981-01-15,0.02,-0.611448235609846,-0.479375292996393,-0.433385607622066
"98",1981-02-15,0,-0.668050925301326,-0.507676637842133,-0.426506808527615
"99",1981-03-15,0.18,-0.158626718078008,-0.465224620573523,-0.419038398082212
"100",1981-04-15,0.08,-0.441640166535407,-0.493525965419263,-0.419234935199196
"101",1981-05-15,0.11,-0.356736131998187,-0.543053318899308,-0.42945486528238
"102",1981-06-15,0.11,-0.356736131998187,-0.554845545918366,-0.442033240769375
"103",1981-07-15,0.02,-0.611448235609846,-0.564279327533613,-0.456970061660183
"104",1981-08-15,-0.04,-0.781256304684286,-0.576071554552671,-0.475248013539723
"105",1981-09-15,0.05,-0.526544201072626,-0.571354663745048,-0.4943121138872
"106",1981-10-15,-0.09,-0.922763028912985,-0.606731344802223,-0.516127733872458
"107",1981-11-15,0.09,-0.413338821689667,-0.566637772937425,-0.531064554763265
"108",1981-12-15,0.24,0.0111813509964317,-0.486450629207828,-0.534602222868983
"109",1982-01-15,0.06,-0.498242856226887,-0.477016847592582,-0.534405685751999
"110",1982-02-15,0,-0.668050925301326,-0.477016847592582,-0.531850703231203
"111",1982-03-15,0.09,-0.413338821689667,-0.498242856226887,-0.534602222868983
"112",1982-04-15,-0.05,-0.809557649530026,-0.528902646476438,-0.537550279623747
"113",1982-05-15,-0.09,-0.922763028912985,-0.576071554552671,-0.540301799261528
"114",1982-06-15,-0.15,-1.09257109798742,-0.637391135051774,-0.547180598355978
"115",1982-07-15,-0.2,-1.23407782221612,-0.689276933935631,-0.557597065556147
"116",1982-08-15,-0.3,-1.51709127067352,-0.750596514434734,-0.572140812212985
"117",1982-09-15,-0.22,-1.2906805119076,-0.814274540337649,-0.592384135262369
"118",1982-10-15,-0.23,-1.31898185675334,-0.847292775991012,-0.612430921194768
"119",1982-11-15,-0.26,-1.40388589129056,-0.92983836512442,-0.642697637210351
"120",1982-12-15,-0.17,-1.1491737876789,-1.0265346266807,-0.687704636999756
"121",1983-01-15,-0.03,-0.752954959838546,-1.047760635315,-0.735266619309958
"122",1983-02-15,0.1,-0.385037476843927,-1.02417618127689,-0.780863230450317
"123",1983-03-15,0.24,0.0111813509964317,-0.988799500219712,-0.821742950783052
"124",1983-04-15,0.17,-0.186928062923748,-0.936913701335855,-0.855743872021337
"125",1983-05-15,0.05,-0.526544201072626,-0.903895465682492,-0.883062531282156
"126",1983-06-15,0.05,-0.526544201072626,-0.856726557606259,-0.901340483161696
"127",1983-07-15,0.08,-0.441640166535407,-0.790690086299532,-0.909791579192021
"128",1983-08-15,0.03,-0.583146890764106,-0.712861387973747,-0.906646985320272
"129",1983-09-15,-0.02,-0.724653614992806,-0.665692479897514,-0.894265146950261
"130",1983-10-15,0.03,-0.583146890764106,-0.604372899398411,-0.874021823900877
"131",1983-11-15,0.09,-0.413338821689667,-0.521827310265003,-0.840020902662593
"132",1983-12-15,0.17,-0.186928062923748,-0.441640166535407,-0.791279697650485
"133",1984-01-15,0.09,-0.413338821689667,-0.413338821689667,-0.738411213181707
"134",1984-02-15,0.07,-0.469941511381147,-0.420414157901102,-0.688097711233725
"135",1984-03-15,-0.04,-0.781256304684286,-0.486450629207828,-0.646235305316068
"136",1984-04-15,-0.04,-0.781256304684286,-0.535977982687873,-0.612823995428736
"137",1984-05-15,-0.03,-0.752954959838546,-0.554845545918366,-0.583736502115059
"138",1984-06-15,-0.32,-1.573693960365,-0.642108025859398,-0.565851624469487
"139",1984-07-15,-0.26,-1.40388589129056,-0.722295169588994,-0.560152048076943
"140",1984-08-15,-0.1,-0.951064373758725,-0.752954959838546,-0.563493179065676
"141",1984-09-15,-0.1,-0.951064373758725,-0.771822523069039,-0.572337349329969
"142",1984-10-15,-0.19,-1.20577647737038,-0.823708321952895,-0.59061530120951
"143",1984-11-15,-0.25,-1.37558454644482,-0.903895465682492,-0.622454314160967
