"","time","AMO_detrended","NAO_detrended","AO_detrended","GSI_detrended"
"1",1973-01-15,0.00104494110703152,-0.0882423063507826,1.30824040353089,0.26511653882074
"2",1973-02-15,0.0693467666523903,0.721992908093073,0.862355223600596,-0.0209151521563047
"3",1973-03-15,0.117648592197767,0.172228122536929,0.613070043670292,0.345610103866662
"4",1973-04-15,0.135950417743136,-0.667536663019215,-1.05011513626001,0.525540861889625
"5",1973-05-15,0.144252243288506,-0.567301448575359,0.148799683809689,0.217868493912589
"6",1973-06-15,0.202554068833876,0.262933765868496,0.606214503879388,0.282859058935552
"7",1973-07-15,0.230855894379246,0.443168980312352,0.345229323949087,0.494275025958516
"8",1973-08-15,0.129157719924615,-0.186595805243792,0.386944144018785,0.639162127981479
"9",1973-09-15,0.177459545469985,-0.426360590799936,0.188358964088484,0.0572427720044425
"10",1973-10-15,0.135761371015355,-1.36612537635608,0.410973784158182,0.376181394027406
"11",1973-11-15,0.114063196560725,-1.05589016191222,0.0757886042278807,0.0856809150503695
"12",1973-12-15,0.102365022106095,0.194345052531631,-0.108196575702421,1.16938165907333
"13",1974-01-15,0.120666847651465,1.21458026697549,0.305218244367278,0.879902429096296
"14",1974-02-15,0.0589686731968344,-0.265184518580658,-0.416566935563024,1.60480652011926
"15",1974-03-15,-0.102729501257796,-0.154949304136802,-0.673852115493325,1.04876125514222
"16",1974-04-15,-0.294427675712426,0.385285910307053,0.380962704576373,1.95366002316519
"17",1974-05-15,-0.336125850167056,-0.364478875249091,-0.435122475353928,0.86249518518815
"18",1974-06-15,-0.307824024621687,-0.264243660805235,0.0240923447157704,1.15752598221111
"19",1974-07-15,-0.339522199076317,-0.88400844636138,0.461307164785469,0.492822105234077
"20",1974-08-15,-0.311220373530947,-0.763773231917524,-0.462378015144833,0.471213833257041
"21",1974-09-15,-0.322918547985577,0.696461982526332,-0.065063195075134,-0.0798563347199958
"22",1974-10-15,-0.264616722440207,0.366697196970188,-0.953448375005436,-0.668789115697032
"23",1974-11-15,-0.126314896894837,-0.663067588585957,-0.364633554935737,1.21645320732593
"24",1974-12-15,-0.0380130713494677,1.3771676258579,0.626381265133962,1.87833294834889
"25",1975-01-15,0.140288754195902,0.457402840301755,1.66409608520366,0.716231011371858
"26",1975-02-15,0.108590579741272,-0.74236194525439,0.263810905273359,0.342890112394822
"27",1975-03-15,0.0568924052866418,-0.732126730810534,0.220225725343057,0.392140647417785
"28",1975-04-15,-0.0348057691679885,-1.72189151636668,0.477540545412756,0.242706387440749
"29",1975-05-15,-0.106503943622619,-0.641656301922823,-0.545844634517546,-0.467401019536288
"30",1975-06-15,-0.0282021180772488,-0.961421087478967,-0.255029814447847,0.0694575794866756
"31",1975-07-15,0.090099707468121,1.42881412696489,0.413185005621851,0.226037685509639
"32",1975-08-15,0.148401533013491,-0.380950658591255,0.19759982569155,-0.964252573467397
"33",1975-09-15,-0.0232966414411394,1.4392845558526,1.34561464576125,-0.044323236444434
"34",1975-10-15,-0.0549948158957697,-0.660480229703544,0.204729465830947,1.13233124457853
"35",1975-11-15,0.0333070096496002,0.289754984740312,0.685444285900645,0.189431898601493
"36",1975-12-15,0.00160883519496999,-0.120009800815833,1.35625910597034,0.446702965624456
"37",1976-01-15,-0.0200893392596602,-0.369774586371977,0.100473926040043,0.50373662464742
"38",1976-02-15,-0.15178751371429,0.810460628071879,1.72218874610974,0.674629324670383
"39",1976-03-15,-0.163485688168921,0.630695842515734,0.652703566179439,0.504600885693347
"40",1976-04-15,-0.0851838626235508,0.14093105695959,0.505018386249138,0.59213737871631
"41",1976-05-15,-0.216882037078181,0.841166271403446,0.124633206318837,1.15746220673927
"42",1976-06-15,-0.208580211532811,0.681401485847302,0.392748026388535,1.49167384176224
"43",1976-07-15,-0.0302783859874414,-0.438363299708843,-0.260837153541766,1.2218364297852
"44",1976-08-15,0.148023439557928,1.80187191473501,0.622777666527932,0.922305311808164
"45",1976-09-15,0.0263252651032982,-1.40789287082113,-0.678607513402369,0.394267630831128
"46",1976-10-15,0.034627090648668,-0.197657656377276,-0.740492693332671,0.757454804854091
"47",1976-11-15,-0.137071083805962,0.0525775580665801,-0.0239778732629722,0.354043681877055
"48",1976-12-15,-0.158769258260592,-1.71718722748956,-2.01126305319327,-0.186428063099982
"49",1977-01-15,-0.0904674327152226,-1.15695201304571,-3.70434823312358,0.702367221922982
"50",1977-02-15,-0.0321656071698529,-0.606716798601853,-1.94803341305388,1.53022693994595
"51",1977-03-15,0.136136218375517,-0.926481584157997,0.406681407015822,0.632656673968909
"52",1977-04-15,0.114438043920887,0.533753630285859,1.39039622708552,0.858214405991872
"53",1977-05-15,0.0627398694662565,-0.976011155270286,0.165911047155219,0.271456217014836
"54",1977-06-15,0.141041695011626,-0.68577594082643,-0.164874132775082,0.796465397037799
"55",1977-07-15,0.149343520556996,-0.565540726382574,-0.430659312705384,1.12495326706076
"56",1977-08-15,0.027645346102366,-0.395305511938719,-1.35144449263569,0.181540992083726
"57",1977-09-15,0.0159471716477358,0.254929702505137,0.646970327434013,0.40710354710669
"58",1977-10-15,0.0642489971931055,0.405164916948993,0.0509851475037117,-1.37106136387035
"59",1977-11-15,0.142550822738475,-0.184599868607151,0.66519996757341,-0.125307954847383
"60",1977-12-15,0.0808526482838451,-1.1143646541633,-0.179985212356891,0.38890489417558
"61",1978-01-15,0.169154473829215,0.54587056028056,-0.287670392287193,-0.676197843801457
"62",1978-02-15,0.167456299374585,-2.31389422527558,-2.95455557221749,-0.764948194778493
