"","time","pdo","pdoNorm","pdoInt","pdoDInt"
"1",1941-01-01,2.67,2.65458999956388,NA,NA
"2",1941-02-01,2.86,2.81867228788241,2.7415221818588,1.45248160859544
"3",1941-03-01,2.43,2.44732816168784,2.63234102517526,1.89035052160493
"4",1941-04-01,2.31,2.34369724274982,2.54722911570348,2.08404321425563
"5",1941-05-01,2.07,2.13643540487378,2.4450757838014,2.17382229054621
"6",1941-06-01,2.83,2.79276455814791,2.52117577882362,2.24984890020176
"7",1941-07-01,3.01,2.94821093655493,2.60003865421589,2.57152329989338
"8",1941-08-01,3.22,3.12956504469647,2.69228770684427,2.57943862469378
"9",1941-09-01,2.04,2.11052767513928,2.59103071879068,2.57626473071304
"10",1941-10-01,1.14,1.33329578310413,2.34219155198387,2.52811324035356
"11",1941-11-01,1.51,1.65282444982969,2.21315473618328,2.46797380743924
"12",1941-12-01,2.21,2.25733814363481,2.16008842615601,2.39478243440931
"13",1942-01-01,2.48,2.49050771124535,2.14745197833561,2.31837643248141
"14",1942-02-01,1.96,2.04144039584726,2.0179995606459,2.21199844451002
"15",1942-03-01,1.11,1.30738805336963,1.85316646597478,2.09270926468019
"16",1942-04-01,0.97,1.1864853146086,1.76388209731925,1.99384174849105
"17",1942-05-01,0.53,0.806505278502532,1.56694343899452,1.87679275328316
"18",1942-06-01,0.77,1.01376711637857,1.37089255649376,1.73529925219373
"19",1942-07-01,0.58,0.84968482806004,1.13493590090397,1.55909726707096
"20",1942-08-01,0.6,0.866956647883044,0.977143386853689,1.3813399933429
"21",1942-09-01,0.37,0.668330719918506,0.873633863138239,1.21885243695757
"22",1942-10-01,0.23,0.547427981157484,0.768260234695936,1.06107150009765
"23",1942-11-01,-0.13,0.236535224343425,0.647453330004977,0.915659606209812
"24",1942-12-01,-0.93,-0.454337568576705,0.366488326134859,0.746102270436238
"25",1943-01-01,-1.62,-1.05021535247032,0.00361307502344455,0.541279477925317
"26",1943-02-01,-0.7,-0.255711640612167,-0.146662865833276,0.343104638429759
"27",1943-03-01,0.32,0.625151170360998,-0.0669616952191384,0.196217934327097
"28",1943-04-01,1.28,1.45419852186515,0.19872932225114,0.134767955651068
"29",1943-05-01,0.58,0.84968482806004,0.336735324920088,0.123111795712412
"30",1943-06-01,-0.14,0.227899314431923,0.398822375408865,0.157027599465908
"31",1943-07-01,-0.22,0.158812035139911,0.504179480693948,0.249664712539797
"32",1943-08-01,-1.88,-1.27474901016936,0.197045788162625,0.281417382279913
"33",1943-09-01,-1.61,-1.04157944255882,-0.121205826258436,0.230674709087982
"34",1943-10-01,-1.48,-0.929312613709294,-0.468940168435454,0.0808162258457324
"35",1943-11-01,-0.18,0.193355674785917,-0.466074205355479,-0.0668351740694876
"36",1943-12-01,1.98,2.05871221567027,0.0117744223366946,-0.100026127046695
"37",1944-01-01,1.58,1.7132758192102,0.369056631612955,-0.0623927367120884
"38",1944-02-01,0.25,0.564699800980487,0.589724578899921,0.052747563351149
"39",1944-03-01,-0.53,-0.10890117211664,0.613926281208943,0.194216573358982
"40",1944-04-01,-0.87,-0.402522109107695,0.558384900657704,0.345704364875225
"41",1944-05-01,-1.76,-1.17111809123134,0.219800166467095,0.406247512332721
"42",1944-06-01,-2.1,-1.46473902822239,-0.348403246611027,0.283625593595041
"43",1944-07-01,-1.49,-0.937948523620796,-0.701231919082823,0.0588522843548
"44",1944-08-01,-1,-0.514788937957216,-0.798094635239955,-0.186852926627363
"45",1944-09-01,-1.94,-1.32656446963837,-0.988640638567161,-0.449475777094388
"46",1944-10-01,-1.5,-0.946584433532297,-1.04290959362594,-0.688691617994066
"47",1944-11-01,-0.81,-0.350706649638685,-0.877170078670871,-0.828199409876677
"48",1944-12-01,-0.48,-0.0657216225591317,-0.635844030984055,-0.838008588566079
"49",1945-01-01,-0.09,0.271078863989432,-0.404323983919006,-0.757665560251638
"50",1945-02-01,-0.34,0.055181116201891,-0.291486466183561,-0.650934102041844
"51",1945-03-01,-0.06,0.296986593723936,-0.0509947796726957,-0.483607730008246
"52",1945-04-01,-0.37,0.0292733864673862,0.0636038122985935,-0.303458182605768
"53",1945-05-01,-0.38,0.0206374765558845,0.0992758197352772,-0.153147138024617
"54",1945-06-01,0.16,0.486976611776972,0.202051684037229,-0.0229837912501205
"55",1945-07-01,0.31,0.616515260449497,0.285178982592923,0.0859549165266225
"56",1945-08-01,-0.61,-0.177988451408653,0.208724596272809,0.154109349995798
"57",1945-09-01,-0.57,-0.143444811762646,0.121855520108418,0.169200811973065
"58",1945-10-01,-0.42,-0.0139061630901219,0.102131763863166,0.165940560936596
"59",1945-11-01,-1.34,-0.808409874948271,-0.0888616465383688,0.117232213667359
"60",1945-12-01,-1.99,-1.36974401919588,-0.431731972481895,-0.0121822014871533
"61",1946-01-01,-1.1,-0.601148037072232,-0.582076407883298,-0.169275706141836
"62",1946-02-01,0.67,0.927408017263555,-0.294318618983647,-0.237597008495808
"63",1946-03-01,0.73,0.979223476732565,-0.0332696377053988,-0.232087626480665
"64",1946-04-01,0.67,0.927408017263555,0.174480257339103,-0.179500798925437
"65",1946-05-01,-0.45,-0.0398138928246268,0.234575662953767,-0.0989555187226254
"66",1946-06-01,-0.63,-0.195260271231656,0.314720648663224,0.0277260313377986
"67",1946-07-01,-0.07,0.288350683812435,0.408722507409147,0.177481382978964
"68",1946-08-01,-0.17,0.201991584697419,0.306725661824816,0.257362982875724
"69",1946-09-01,-0.15,0.219263404520422,0.214818318873256,0.279441228449973
