"time","pdo","pdo_z","pdo_int","pdo_int_z"
1941-01-01,2.67,2.66951842303517,2.66951842303517,0.176974195430033
1941-02-01,2.86,2.83665915578859,5.22780691177721,0.380614077920539
1941-03-01,2.43,2.45839328692558,7.84664077957508,0.589073375395136
1941-04-01,2.31,2.35283071887079,9.97809070068503,0.758736888083127
1941-05-01,2.07,2.1417055827612,11.9151676403606,0.912928302423802
1941-06-01,2.83,2.81026851377489,13.5604079047735,1.04388950386298
1941-07-01,3.01,2.96861236585708,15.8056594225161,1.22261162892698
1941-08-01,3.22,3.15334685995297,18.1157026457684,1.40649117675796
1941-09-01,2.04,2.1153149407475,20.5142285621477,1.59741395107028
1941-10-01,1.14,1.32359568033655,21.7747839794723,1.69775422081953
1941-11-01,1.51,1.64908026517216,22.1910969939975,1.73089275610601
1941-12-01,2.21,2.26486191215846,22.9155482177531,1.78855910715473
1942-01-01,2.48,2.50237769028175,24.2255956208386,1.89283894126854
1942-02-01,1.96,2.04493989537764,25.7185734935854,2.01168004926125
1942-03-01,1.11,1.29720503832285,26.6919061600636,2.08915737470677
1942-04-01,0.97,1.17404870892559,26.8769484417172,2.10388674891829
1942-05-01,0.53,0.786985959391349,26.9311242989045,2.1081991496659
1942-06-01,0.77,0.998111095500936,26.5959800791749,2.08152165421398
1942-07-01,0.58,0.830970362747513,26.4859253380435,2.07276129170985
1942-08-01,0.6,0.848564124089978,26.2133154783725,2.0510615342222
1942-09-01,0.37,0.646235868651624,25.969658124197,2.03166639751631
1942-10-01,0.23,0.523079539254365,25.5338249043404,1.99697405297909
1942-11-01,-0.13,0.206391835089984,24.9929950725806,1.95392397325916
1942-12-01,-0.93,-0.497358618608641,24.1580121129797,1.88745929090494
1943-01-01,-1.62,-1.1043433849237,22.6540696563303,1.76774540152447
1943-02-01,-0.7,-0.295030363170286,20.6058067023928,1.60470357528596
1943-03-01,0.32,0.60225146529546,19.4522010599561,1.5128765125837
1943-04-01,1.28,1.44675200973381,19.2439441477534,1.49629925270256
1943-05-01,0.58,0.830970362747513,19.8888651513308,1.54763499453234
1943-06-01,-0.14,0.197594954418751,19.8911327994396,1.54781549942709
1943-07-01,-0.22,0.127219909048888,19.2599305538817,1.49757177137265
1943-08-01,-1.88,-1.33306228237576,18.5846533565188,1.44381967510805
1943-09-01,-1.61,-1.09554650425247,16.4772305176215,1.2760687192798
1943-10-01,-1.48,-0.981187055526445,14.6951327418014,1.13421365357803
1943-11-01,-0.18,0.16240743173382,13.1016484886999,1.00737223304238
1943-12-01,1.98,2.06253365672011,12.7181539000713,0.976846045981086
1944-01-01,1.58,1.71065842987079,14.2507644776217,1.09884191911639
1944-02-01,0.25,0.54067330059683,15.3676410542583,1.18774534647556
1944-03-01,-0.53,-0.145483391759329,15.2679959775943,1.17981359374638
1944-04-01,-0.87,-0.444577334581244,14.4863460867686,1.11759422614302
1944-05-01,-1.76,-1.22749971432096,13.438170998572,1.03415944045363
1944-06-01,-2.1,-1.52659365714288,11.6507474926439,0.891880446387973
1944-07-01,-1.49,-0.989983936197678,9.63870602330749,0.731721852005541
1944-08-01,-1,-0.55893678330727,8.24710933613866,0.620950691092183
1944-09-01,-1.94,-1.38584356640315,7.34454299715895,0.549106368601371
1944-10-01,-1.5,-0.998780816868911,5.65267680587417,0.414433741218247
1944-11-01,-0.81,-0.391796050553847,4.4183677887605,0.316182686144472
1944-12-01,-0.48,-0.101498988403165,3.84247308034164,0.270341440614345
1945-01-01,-0.09,0.241579357774915,3.58087104692424,0.249517906607595
1945-02-01,-0.34,0.0216573409940947,3.67324744441064,0.256871072136741
1945-03-01,-0.06,0.267969999788613,3.54185280855429,0.24641205302165
1945-04-01,-0.37,-0.00473330101960366,3.66224560798648,0.255995325446539
1945-05-01,-0.38,-0.0135301816908365,3.50491873996744,0.243472099447211
1945-06-01,0.16,0.461501374555735,3.34535027744462,0.2307704424213
1945-07-01,0.31,0.593454584624227,3.66746205710683,0.25641055503873
1945-08-01,-0.61,-0.215858437129191,4.10810572268494,0.291485811278747
1945-09-01,-0.57,-0.18067091444426,3.72107621377721,0.260678244399109
1945-10-01,-0.42,-0.0487177043757677,3.38536045709224,0.233955254579006
1945-11-01,-1.34,-0.858030726129186,3.19558606700429,0.218849204316387
1945-12-01,-1.99,-1.42982796975932,2.20440592141659,0.139951218705057
1946-01-01,-1.1,-0.646905590019599,0.682727704931584,0.0188255620181756
1946-02-01,0.67,0.910142288788608,0.00737512720650291,-0.0349325345267614
1946-03-01,0.73,0.962923572816005,0.917210119028173,0.0374903730677687
1946-04-01,0.67,0.910142288788608,1.84191660355134,0.111097052171852
1946-05-01,-0.45,-0.0751083463894661,2.67531236719197,0.17743539365394
1946-06-01,-0.63,-0.233452198471657,2.48873267216951,0.16258364126687
1946-07-01,-0.07,0.259173119117381,2.15158327902412,0.135746533917952
1946-08-01,-0.17,0.171204312405052,2.32110709484883,0.149240637528941
1946-09-01,-0.15,0.188798073747518,2.39559861163518,0.15517016572393
1946-10-01,-1.23,-0.761265038745625,2.48458007656457,0.162253094463903
1946-11-01,-1.82,-1.28028099834836,1.61979086796209,0.0934158333051892
1946-12-01,-1.66,-1.13953090760864,0.272018583448639,-0.0138669031219429
1947-01-01,-0.15,0.188798073747518,-0.878846431803689,-0.105475811773077
1947-02-01,0.22,0.514282658583132,-0.653429756731018,-0.0875326339707289
1947-03-01,0.31,0.593454584624227,-0.111920858284093,-0.0444285005109728
1947-04-01,0.1,0.408720090528338,0.486197095435304,0.00318171637694798
