"time","pdo_z"
1941-01-01,2.65458999956388
1941-02-01,2.81867228788241
1941-03-01,2.44732816168784
1941-04-01,2.34369724274982
1941-05-01,2.13643540487378
1941-06-01,2.79276455814791
1941-07-01,2.94821093655493
1941-08-01,3.12956504469647
1941-09-01,2.11052767513928
1941-10-01,1.33329578310413
1941-11-01,1.65282444982969
1941-12-01,2.25733814363481
1942-01-01,2.49050771124535
1942-02-01,2.04144039584726
1942-03-01,1.30738805336963
1942-04-01,1.1864853146086
1942-05-01,0.806505278502532
1942-06-01,1.01376711637857
1942-07-01,0.84968482806004
1942-08-01,0.866956647883044
1942-09-01,0.668330719918506
1942-10-01,0.547427981157484
1942-11-01,0.236535224343425
1942-12-01,-0.454337568576705
1943-01-01,-1.05021535247032
1943-02-01,-0.255711640612167
1943-03-01,0.625151170360998
1943-04-01,1.45419852186515
1943-05-01,0.84968482806004
1943-06-01,0.227899314431923
1943-07-01,0.158812035139911
1943-08-01,-1.27474901016936
1943-09-01,-1.04157944255882
1943-10-01,-0.929312613709294
1943-11-01,0.193355674785917
1943-12-01,2.05871221567027
1944-01-01,1.7132758192102
1944-02-01,0.564699800980487
1944-03-01,-0.10890117211664
1944-04-01,-0.402522109107695
1944-05-01,-1.17111809123134
1944-06-01,-1.46473902822239
1944-07-01,-0.937948523620796
1944-08-01,-0.514788937957216
1944-09-01,-1.32656446963837
1944-10-01,-0.946584433532297
1944-11-01,-0.350706649638685
1944-12-01,-0.0657216225591317
1945-01-01,0.271078863989432
1945-02-01,0.055181116201891
1945-03-01,0.296986593723936
1945-04-01,0.0292733864673862
1945-05-01,0.0206374765558845
1945-06-01,0.486976611776972
1945-07-01,0.616515260449497
1945-08-01,-0.177988451408653
1945-09-01,-0.143444811762646
1945-10-01,-0.0139061630901219
1945-11-01,-0.808409874948271
1945-12-01,-1.36974401919588
1946-01-01,-0.601148037072232
1946-02-01,0.927408017263555
1946-03-01,0.979223476732565
1946-04-01,0.927408017263555
1946-05-01,-0.0398138928246268
1946-06-01,-0.195260271231656
1946-07-01,0.288350683812435
1946-08-01,0.201991584697419
1946-09-01,0.219263404520422
1946-10-01,-0.713414865921754
1946-11-01,-1.22293355070035
1946-12-01,-1.08475899211632
1947-01-01,0.219263404520422
1947-02-01,0.538792071245982
1947-03-01,0.616515260449497
1947-04-01,0.435161152307962
1947-05-01,0.0379092963788878
1947-06-01,0.927408017263555
1947-07-01,1.02240302629007
1947-08-01,0.875592557794545
1947-09-01,0.694238449653011
1947-10-01,1.54919353089167
1947-11-01,0.875592557794545
1947-12-01,0.720146179387516
1948-01-01,0.58197162080349
1948-02-01,0.0724529360248943
1948-03-01,-0.609783946983734
1948-04-01,-0.627055766806737
1948-05-01,-1.18838991105434
1948-06-01,0.357437963104448
1948-07-01,0.26244295407793
1948-08-01,-0.575240307337728
1948-09-01,-0.575240307337728
1948-10-01,-1.15384627140834
1948-11-01,-0.445701658665203
1948-12-01,-1.24884128043485
1949-01-01,-2.08652454185051
1949-02-01,-2.38878138875307
1949-03-01,-1.22293355070035
1949-04-01,-0.981128073178304
1949-05-01,-0.834317604682776
1949-06-01,-0.69614304609875
1949-07-01,-0.929312613709294
1949-08-01,-1.04157944255882
1949-09-01,-1.03294353264731
1949-10-01,-1.62882131654093
1949-11-01,-0.583876217249229
1949-12-01,-0.454337568576705
1950-01-01,-1.04157944255882
1950-02-01,-1.52519039760291
1950-03-01,-1.28338492008086
1950-04-01,-1.36974401919588
1950-05-01,-2.40605320857607
1950-06-01,-1.82744724450546
1950-07-01,-2.80330506450515
1950-08-01,-2.22469910043454
1950-09-01,-1.72381632556744
1950-10-01,-1.30929264981537
1950-11-01,-0.903404883974789
1950-12-01,-0.566604397426226
1951-01-01,-0.678871226275747
1951-02-01,-0.963856253355301
1951-03-01,-1.13657445158533
1951-04-01,-0.817045784859773
1951-05-01,-0.765230325390763
1951-06-01,-1.17975400114284
1951-07-01,0.150176125228409
1951-08-01,-1.17111809123134
1951-09-01,-0.32479891990418
1951-10-01,0.271078863989432
1951-11-01,0.0810888459363959
1951-12-01,-0.903404883974789
1952-01-01,-1.54246221742591
1952-02-01,-0.817045784859773
1952-03-01,-1.09339490202782
1952-04-01,-1.30929264981537
1952-05-01,-1.43883129848789
1952-06-01,-1.4906467579569
1952-07-01,-1.42155947866489
1952-08-01,-1.01567171282431
1952-09-01,-0.825681694771275
1952-10-01,-0.437065748753702
1952-11-01,-0.10890117211664
1952-12-01,-0.367978469461688
1953-01-01,0.21062749460892
1953-02-01,-0.0484498027361285
1953-03-01,-0.74795850556776
1953-04-01,-0.4284298388422
1953-05-01,-0.126172991939643
1953-06-01,0.176083854962914
1953-07-01,0.400617512661956
1953-08-01,-0.445701658665203
1953-09-01,-0.609783946983734
1953-10-01,-0.929312613709294
1953-11-01,-0.0916293522936366
1953-12-01,0.193355674785917
1954-01-01,-0.627055766806737
1954-02-01,-0.471609388399708
1954-03-01,-0.64432758662974
1954-04-01,-0.730686685744757
1954-05-01,-0.307527100081177
1954-06-01,0.771961638856526
1954-07-01,0.279714773900933
1954-08-01,0.0724529360248943
1954-09-01,-0.557968487514724
1954-10-01,0.36607387301595
1954-11-01,1.08285439567058
1954-12-01,0.771961638856526
1955-01-01,0.150176125228409
1955-02-01,-0.523424847868718
1955-03-01,-0.722050775833255
1955-04-01,-1.55973403724891
1955-05-01,-1.28338492008086
1955-06-01,-1.53382630751441
1955-07-01,-2.02607317247
1955-08-01,-1.94834998326649
1955-09-01,-1.79290360485946
1955-10-01,-2.5442277671601
