"","time","pdo","pdoNorm","pdoInt","pdoDInt"
"1",1941-01-01,2.67,2.65458999956388,NA,NA
"2",1941-02-01,2.86,2.81867228788241,2.73783849779845,1.38906487522918
"3",1941-03-01,2.43,2.44732816168784,2.63832420966011,1.81699854199802
"4",1941-04-01,2.31,2.34369724274982,2.561490507141,2.01114938561406
"5",1941-05-01,2.07,2.13643540487378,2.47156822444216,2.10855302284635
"6",1941-06-01,2.83,2.79276455814791,2.52902929972874,2.18377498669446
"7",1941-07-01,3.01,2.94821093655493,2.59419221359736,2.24757544944699
"8",1941-08-01,3.22,3.12956504469647,2.66807511489832,2.30560554263615
"9",1941-09-01,2.04,2.11052767513928,2.59869433264705,2.34207729027581
"10",1941-10-01,1.14,1.33329578310413,2.4550682726109,2.35490206363932
"11",1941-11-01,1.51,1.65282444982969,2.37110601620118,2.35659795755738
"12",1941-12-01,2.21,2.25733814363481,2.36004607547336,2.35693316624954
"13",1942-01-01,2.48,2.49050771124535,2.37191905642173,2.35829699391777
"14",1942-02-01,1.96,2.04144039584726,2.34359892438526,2.35703745338006
"15",1942-03-01,1.11,1.30738805336963,2.25978499529762,2.34917118710809
"16",1942-04-01,0.97,1.1864853146086,2.1772528227862,2.3359513973724
"17",1942-05-01,0.53,0.806505278502532,2.07675375023645,2.31694780823385
"18",1942-06-01,0.77,1.01376711637857,2.00212562233285,2.29484537570275
"19",1942-07-01,0.58,0.84968482806004,1.92448757450225,2.26989497753311
"20",1942-08-01,0.6,0.866956647883044,1.8558755657764,2.24303363213214
"21",1942-09-01,0.37,0.668330719918506,1.78149655603927,2.21412636955886
"22",1942-10-01,0.23,0.547427981157484,1.70678485736898,2.18341142635946
"23",1942-11-01,-0.13,0.236535224343425,1.62049565467227,2.15037380333735
"24",1942-12-01,-0.93,-0.454337568576705,1.5023396850276,2.11347006632672
"25",1943-01-01,-1.62,-1.05021535247032,1.32407515575028,2.12870245127601
"26",1943-02-01,-0.7,-0.255711640612167,1.19141491657752,2.05790794670097
"27",1943-03-01,0.32,0.625151170360998,1.12348996324486,1.98825357311786
"28",1943-04-01,1.28,1.45419852186515,1.10758949401197,1.92182312582649
"29",1943-05-01,0.58,0.84968482806004,1.06365239113393,1.85736519637258
"30",1943-06-01,-0.14,0.227899314431923,0.966868821343566,1.78756115975989
"31",1943-07-01,-0.22,0.158812035139911,0.864521727319053,1.71209194622508
"32",1943-08-01,-1.88,-1.27474901016936,0.678254089661346,1.62602141839241
"33",1943-09-01,-1.61,-1.04157944255882,0.539495974743796,1.53642781778853
"34",1943-10-01,-1.48,-0.929312613709294,0.433263425197637,1.44746069057392
"35",1943-11-01,-0.18,0.193355674785917,0.384856622863551,1.36061398849005
"36",1943-12-01,1.98,2.05871221567027,0.426861731887459,1.27898196377854
"37",1944-01-01,1.58,1.7132758192102,0.44136770864264,1.20012031806115
"38",1944-02-01,0.25,0.564699800980487,0.402790804988241,1.12207376268419
"39",1944-03-01,-0.53,-0.10890117211664,0.347936193194437,1.04564919914421
"40",1944-04-01,-0.87,-0.402522109107695,0.281332822630623,0.969918468469471
"41",1944-05-01,-1.76,-1.17111809123134,0.183702615326902,0.8936773105204
"42",1944-06-01,-2.1,-1.46473902822239,0.0661824962806799,0.81499981728533
"43",1944-07-01,-1.49,-0.937948523620796,-0.0132767851421034,0.736281679353985
"44",1944-08-01,-1,-0.514788937957216,-0.0668959339430936,0.658665676787765
"45",1944-09-01,-1.94,-1.32656446963837,-0.159625339738875,0.580057673976363
"46",1944-10-01,-1.5,-0.946584433532297,-0.224581168602862,0.502151272288492
"47",1944-11-01,-0.81,-0.350706649638685,-0.244899455391318,0.427727585907799
"48",1944-12-01,-0.48,-0.0657216225591317,-0.22873033032143,0.359742937275878
"49",1945-01-01,-0.09,0.271078863989432,-0.176849098555515,0.30169756408572
"50",1945-02-01,-0.34,0.055181116201891,-0.161369932105286,0.249943106912039
"51",1945-03-01,-0.06,0.296986593723936,-0.157644847690146,0.201923991841341
"52",1945-04-01,-0.37,0.0292733864673862,-0.192840202212325,0.153696090498779
"53",1945-05-01,-0.38,0.0206374765558845,-0.210326620190834,0.107115222582111
"54",1945-06-01,0.16,0.486976611776972,-0.183088917209398,0.0661404915829692
"55",1945-07-01,0.31,0.616515260449497,-0.14730185812466,0.0312959966761784
"56",1945-08-01,-0.61,-0.177988451408653,-0.116980340903929,0.00445096893525588
"57",1945-09-01,-0.57,-0.143444811762646,-0.0921755691337032,-0.0162803405481436
"58",1945-10-01,-0.42,-0.0139061630901219,-0.0639051860653599,-0.0317801362901483
"59",1945-11-01,-1.34,-0.808409874948271,-0.113645078512062,-0.048302058159281
"60",1945-12-01,-1.99,-1.36974401919588,-0.246980087466779,-0.0731344073564357
"61",1946-01-01,-1.1,-0.601148037072232,-0.322954112393185,-0.102012949798616
"62",1946-02-01,0.67,0.927408017263555,-0.276951920137377,-0.126360729105293
"63",1946-03-01,0.73,0.979223476732565,-0.210282285550995,-0.14462257300947
"64",1946-04-01,0.67,0.927408017263555,-0.140065725986483,-0.156483874619221
"65",1946-05-01,-0.45,-0.0398138928246268,-0.105034605409556,-0.163233435847711
"66",1946-06-01,-0.63,-0.195260271231656,-0.0714723784567848,-0.164539600508248
"67",1946-07-01,-0.07,0.288350683812435,-0.0263474292794215,-0.160979911158411
"68",1946-08-01,-0.17,0.201991584697419,0.000556047786878522,-0.15446161207386
"69",1946-09-01,-0.15,0.219263404520422,0.0508119108890557,-0.14262172168124
"70",1946-10-01,-1.23,-0.713414865921754,0.0356928390964985,-0.13013520998472
