"date","Anomaly_yr"
1951-03-01,-0.135772348127994
1952-03-01,-0.419536105349942
1953-03-01,-1.26260498868676
1954-03-01,-0.947230716333192
1955-03-01,-0.277562866868645
1956-03-01,-0.549084401467368
1957-03-01,0.264201164144283
1958-03-01,0.773441081322371
1959-03-01,0.876312295305602
1960-03-01,0.929118300352056
1961-03-01,-0.322694642808002
1962-03-01,-0.254722899287999
1963-03-01,-0.733265900037699
1964-03-01,0.364514301758481
1965-03-01,-0.687037805654471
1966-03-01,0.172841293821698
1967-03-01,0.176191155733526
1968-03-01,0.179541017645354
1969-03-01,0.182890879557183
1970-03-01,-0.910686768204159
1971-03-01,-1.15151138637449
1972-03-01,-1.39233600454483
1973-03-01,-1.28352639899063
1974-03-01,-1.17471679343643
1975-03-01,-1.19773948075772
1976-03-01,-1.39233600454483
1977-03-01,-0.0487977515808928
1978-03-01,0.637863033763655
1979-03-01,-0.509982376969301
1980-03-01,1.29656769878949
1981-03-01,0.353916556801061
1982-03-01,0.893305231185603
1983-03-01,0.72355859212624
1984-03-01,2.11990285013663
1985-03-01,1.75537696754951
1986-03-01,2.04443959725017
1987-03-01,0.593096697305589
1988-03-01,2.33934925865148
1989-03-01,0.880880288821731
1990-03-01,1.59330455759725
1991-03-01,0.304947666308156
1992-03-01,0.139769020764923
1993-03-01,0.652846052496559
1994-03-01,0.664357396157205
1995-03-01,0.584874308976556
1996-03-01,-0.0891788142634753
1997-03-01,0.116929053184276
1998-03-01,0.902806657699152
1999-03-01,-0.176336130551221
2000-03-01,-1.26607666375901
2001-03-01,-1.22807095770482
2002-03-01,-0.738564772516409
2003-03-01,-0.832665438948671
2004-03-01,-0.639347953346081
2005-03-01,-0.0983148012957336
2006-03-01,-0.321781044104776
2007-03-01,-0.258377294100902
2008-03-01,-1.08134700596675
2009-03-01,-1.20742362701191
2010-03-01,-1.39233600454483
2011-03-01,-1.39233600454483
2012-03-01,-1.39233600454483
2013-03-01,-1.24743925021321
2014-03-01,-0.525878994405431
2015-03-01,0.807609672823018
2016-03-01,2.71575192438053
2017-03-01,1.2432135345211
2018-03-01,0.601867244856557
2019-03-01,0.732877298899144
2020-03-01,0.21779035002041
2021-03-01,-0.297296598858323
