"","time","mei","meiNorm","meiInt","meiDInt"
"1",1979-01-01,0.47,0.5346976901349,NA,NA
"2",1979-02-01,0.29,0.351146998194151,0.440221715186974,0.226587953964037
"3",1979-03-01,-0.05,0.00444013563940311,0.286897449592746,0.247807091163985
"4",1979-04-01,0.21,0.269568912887152,0.282188262634199,0.257150486227161
"5",1979-05-01,0.27,0.330752476867402,0.293038292880672,0.265168402172436
"6",1979-06-01,-0.11,-0.0567434283408466,0.226031053112404,0.257670909955857
"7",1979-07-01,-0.11,-0.0567434283408466,0.178353517746233,0.244297504573618
"8",1979-08-01,0.47,0.5346976901349,0.232411393257652,0.242494365991257
"9",1979-09-01,0.38,0.442922344164526,0.261588088443668,0.245140744802243
"10",1979-10-01,0.23,0.289963434213902,0.26521874814695,0.247709749538123
"11",1979-11-01,0.53,0.59588125411515,0.304730736113815,0.254523381246504
"12",1979-12-01,0.63,0.6978538607489,0.348875989025287,0.265118585324406
"13",1980-01-01,0.33,0.391936040847651,0.343272320730047,0.288804583238204
"14",1980-02-01,0.2,0.259371652223777,0.333389005741319,0.285302571713213
"15",1980-03-01,0.39,0.453119604827901,0.365243305934638,0.294183039302127
"16",1980-04-01,0.51,0.5754867327884,0.39421900155068,0.306090717891914
"17",1980-05-01,0.45,0.514303168808151,0.411248292559386,0.318621817283344
"18",1980-06-01,0.55,0.6162757754419,0.460510213436532,0.339749046672689
"19",1980-07-01,0.47,0.5346976901349,0.497804173583357,0.366525148088761
"20",1980-08-01,0.03,0.0860182209464027,0.449480536464738,0.383361570562825
"21",1980-09-01,0.12,0.177793566916777,0.419302724882212,0.394234948728262
"22",1980-10-01,0.02,0.0758209602830277,0.387971618098942,0.400763494117172
"23",1980-11-01,-0.07,-0.0159543856873468,0.330895017691112,0.398296518586811
"24",1980-12-01,-0.12,-0.0669406890042215,0.265640884609206,0.386166844500477
"25",1981-01-01,-0.36,-0.31167494492522,0.193652489093293,0.366930648830043
"26",1981-02-01,-0.23,-0.179110556301346,0.148019850478829,0.344182779268749
"27",1981-03-01,0.33,0.391936040847651,0.158254364509114,0.32217621003098
"28",1981-04-01,0.43,0.493908647481401,0.17250126203771,0.301350986690926
"29",1981-05-01,-0.24,-0.189307816964721,0.112801094104266,0.274062399701132
"30",1981-06-01,-0.7,-0.658381807479968,-0.00196674991145669,0.232633581071912
"31",1981-07-01,-0.61,-0.566606461509594,-0.0953558975126973,0.180995964009293
"32",1981-08-01,-0.34,-0.29128042359847,-0.127525328745056,0.131299952975452
"33",1981-09-01,-0.07,-0.0159543856873468,-0.132141973121319,0.0855202176065265
"34",1981-10-01,-0.16,-0.107729731657721,-0.141075102000314,0.0431027647103763
"35",1981-11-01,-0.27,-0.219899598954846,-0.156964655366238,0.00444638157218895
"36",1981-12-01,-0.19,-0.138321513647846,-0.159925710319264,-0.0286768194047333
"37",1982-01-01,-0.43,-0.383055769568845,-0.176478517341806,-0.0577869154147847
"38",1982-02-01,-0.49,-0.444239333549095,-0.206458225852507,-0.0860934767324371
"39",1982-03-01,-0.27,-0.219899598954846,-0.241478826649767,-0.11718463220587
"40",1982-04-01,-0.36,-0.31167494492522,-0.290586708105662,-0.152874746223927
"41",1982-05-01,-0.12,-0.0669406890042215,-0.271198071013367,-0.181022082655518
"42",1982-06-01,0.62,0.687656600085525,-0.141897858543999,-0.186677161282635
"43",1982-07-01,1.65,1.73797444841314,0.0926733822546271,-0.160476876706733
"44",1982-08-01,1.91,2.00310322566089,0.328648593006114,-0.107426432611397
"45",1982-09-01,1.69,1.77876349106664,0.510940928349614,-0.0365590782000329
"46",1982-10-01,1.78,1.87053883703702,0.698309796991523,0.0518105886583422
"47",1982-11-01,2.14,2.23764022091852,0.922904160318742,0.161440155928096
"48",1982-12-01,2.37,2.47217721617614,1.15646225703891,0.29121855824086
"49",1983-01-01,2.48,2.58434708347326,1.40349675642711,0.442535044707976
"50",1983-02-01,2.68,2.78829229674076,1.66326186419686,0.616399760126872
"51",1983-03-01,2.61,2.71691147209714,1.88676013384463,0.806748978308342
"52",1983-04-01,2.76,2.86987038204776,2.12028622470496,1.01558904544257
"53",1983-05-01,2.86,2.97184298868151,2.33827909471393,1.23592565335816
"54",1983-06-01,1.98,2.07448405030452,2.40127912279562,1.44396731033275
"55",1983-07-01,0.63,0.6978538607489,2.24748197874857,1.60980440372742
"56",1983-08-01,-0.17,-0.117926992321096,1.99570186174532,1.72501652461076
"57",1983-09-01,-0.49,-0.444239333549095,1.73374107240572,1.79420268232379
"58",1983-10-01,-0.53,-0.485028376202594,1.47696378939413,1.8201039056796
"59",1983-11-01,-0.47,-0.423844812222345,1.22059683932875,1.80314418318849
"60",1983-12-01,-0.5,-0.45443659421247,0.962228826023476,1.74502383590843
"61",1984-01-01,-0.54,-0.495225636865969,0.707227943111291,1.647561772485
"62",1984-02-01,-0.56,-0.515620158192719,0.452558000893352,1.51221964056512
"63",1984-03-01,-0.16,-0.107729731657721,0.262895520943726,1.35106599307718
"64",1984-04-01,0.07,0.126807263599902,0.10148976366468,1.16760707041762
"65",1984-05-01,-0.45,-0.403450290895595,-0.115913019399216,0.958019795493913
"66",1984-06-01,-0.66,-0.617592764826469,-0.29504348705897,0.736372988861161
"67",1984-07-01,-0.34,-0.29128042359847,-0.350227861293539,0.529803837955521
"68",1984-08-01,-0.2,-0.148518774311221,-0.340592398456906,0.349858026985342
"69",1984-09-01,-0.14,-0.0873352103309714,-0.306303217621795,0.198438353046259
"70",1984-10-01,-0.19,-0.138321513647846,-0.277416291593739,0.0733200088401687
